1,3,-1,1,1,3,1,1,-6,1,-3,1,8,1,1,2,1,-9,1,-2,-11,1,6,12,-3,-4,5,13,17,17
11,-20,-9,1,-2,-15,11,13,10,8,9,15,-2,2,-12,-7,7,12,8,-7,1,11,-7,1,-6,1,-3,2,-1,1
-7,1,-6,1,-3,6,-15,8,1,10,-14,-16,19,7,20,11,1,-15,2,4,2,13,1,-5,-17,-11,8,-7,3,-2
6,12,-3,-4,1,-5,-17,-11,2,6,-15,8,1,9,9,6,-4,3,7,13,13,-6,7,-7,-13,12,9,13,-8,-3
20,-6,3,2,2,5,-2,1,4,-2,13,11,-20,3,-1,8,1,8,3,8,-20,2,1,-1,10,3,-1,1,-9,1
7,8,-15,8,1,1,-3,2,1,5,1,-3,2,14,7,13,-8,10,13,7,10,-2,-4,11,9,5,6,9,6,1
2,7,1,1,-6,3,3,13,3,-5,13,-8,4,10,11,19,-4,6,14,10,4,3,1,2,1,-9,7,-1,8,1
4,10,-9,7,-2,13,11,-20,-9,1,-2,5,14,10,3,-1,-6,8,1,-1,-15,-5,-8,11,-9,-7,15,6,13,17
9,5,6,17,13,-8,4,10,-17,6,14,1,-15,6,14,1,-3,13,-4,3,2,12,7,-1,8,7,-11,1,2,-1
-5,-13,8,7,4,17,-8,4,11,3,5,3,1,1,-6,1,-3,14,1,8,12,1,15,6,13,-9,7,-12,-7,3
12,17,20,11,6,16,1,-15,13,-8,4,10,11,2,-3,-5,14,17,-8,10,8,-5,2,7,14,20,-6,20,11,-8
-15,11,13,10,5,4,-4,2,1,-9,1,-2,13,-8,4,10,1,1,3,-20,10,-7,-5,15,4,6,1,9,6,-9
3,4,14,1,7,-7,-13,12,9,6,6,1,-6,1,3,18,1,-2,-15,1,6,-1,12,2,-1,-9,6,-1,8,15
8,9,15,-2,1,-1,10,3,-1,8,7,-11,2,6,5,12,1,-3,6,12,8,11,-15,-5,7,8,-7,7,13,-16
10,-14,-16,19,-4,11,9,5,6,13,-9,7,-2,13,11,-20,-4,1,-5,-6,13,2,-8,4,10,11,5,11,19,8
6,-15,8,1,1,2,1,-9,7,14,20,-6,3,2,2,-3,2,1,5,8,14,11,13,11,-2,1,-1,10,11,13
8,13,1,-6,-8,11,-9,-7,15,4,6,1,-5,-17,2,1,-9,1,-2,7,17,-8,1,-3,19,-4,11,9,-15,8
13,-8,4,10,11,-12,-7,-3,2,-1,-9,6,12,-3,-4,5,13,17,-11,10,1,-4,13,-8,1,1,2,1,-17,-11
-14,1,-15,-3,10,13,-1,2,-5,7,8,-7,1,-6,1,-3,2,-1,-9,11,-2,-6,-2,5,-6,-8,11,-9,-2,1
17,2,3,1,6,14,-9,6,12,-3,-4,1,-5,-17,-11,8,-7,3,2,-13,-3,-3,14,1,10,11,-12,-7,-3,2
19,-4,1,-5,-17,-11,2,6,-15,8,1,7,-7,-13,12,9,13,-8,4,10,1,-3,5,3,-3,10,13,-1,3,13
-18,2,2,5,-2,1,4,-2,13,11,-2,1,-1,10,3,-1,1,-9,1,-2,9,14,4,10,1,6,14,-9,11,-20
-5,8,1,1,-3,2,1,5,1,-3,19,-4,11,9,5,6,9,6,6,1,-1,1,1,-2,-5,-17,-11,2,4,10
-9,1,-6,3,3,13,3,-5,13,-8,1,1,2,1,-9,7,-1,8,7,-11,6,1,6,1,3,13,3,-5,7,10
1,7,-2,13,11,-20,-9,1,-2,5,-6,-8,11,-9,-7,15,6,13,-9,7,7,-8,1,-1,-15,-5,-8,11,-9,6
3,17,13,-8,4,10,-17,6,14,1,10,11,-12,-7,-3,2,7,14,20,-6,15,17,-4,3,2,12,7,-1,8,-2
-16,7,4,17,-8,4,11,3,5,3,-3,10,13,-1,2,-5,15,4,6,1,2,16,1,8,12,1,15,6,13,5
8,11,6,16,1,-15,13,-8,4,10,1,6,14,-9,6,12,2,-1,-9,6,-5,4,-8,10,8,-5,2,7,14,-5
6,10,5,4,-4,2,1,-9,1,-2,-5,-17,-11,2,6,-15,-5,7,8,-7,1,-7,3,-20,10,-7,-5,15,4,1
5,1,7,-7,-13,12,9,6,6,1,3,13,3,-5,13,-8,4,10,11,5,5,-1,-15,1,6,-1,12,2,-1,6
